Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
7176->6757           | 132   | 0.5438       | 0.5800       | 0.0363    
6757->6889           | 124   | 0.5527       | 0.5854       | 0.0327    
6889->6890           | 124   | 0.5527       | 0.5854       | 0.0327    
4919->6115           | 105   | 0.5795       | 0.6122       | 0.0327    
6115->4892           | 104   | 0.5812       | 0.6147       | 0.0335    
4892->5355           | 104   | 0.5812       | 0.6147       | 0.0335    
5355->6127           | 103   | 0.5829       | 0.6179       | 0.0350    
6127->5847           | 102   | 0.5847       | 0.6205       | 0.0358    
5847->6250           | 101   | 0.5864       | 0.6230       | 0.0366    
6250->6085           | 100   | 0.5882       | 0.6252       | 0.0370    
6085->5645           | 99    | 0.5901       | 0.6278       | 0.0377    
5645->6275           | 98    | 0.5920       | 0.6300       | 0.0381    
6275->5868           | 97    | 0.5939       | 0.6337       | 0.0398    
5868->4891           | 96    | 0.5958       | 0.6360       | 0.0401    
4891->4954           | 91    | 0.6062       | 0.6376       | 0.0314    
4954->4983           | 91    | 0.6062       | 0.6376       | 0.0314    
4964->5895           | 82    | 0.6276       | 0.5969       | -0.0307   
5895->6293           | 81    | 0.6302       | 0.6027       | -0.0275   
6293->5712           | 80    | 0.6328       | 0.6082       | -0.0246   
5712->5813           | 79    | 0.6356       | 0.6147       | -0.0208   
5813->5800           | 78    | 0.6383       | 0.6213       | -0.0170   
5800->5612           | 77    | 0.6412       | 0.6240       | -0.0172   
5612->5098           | 76    | 0.6441       | 0.6282       | -0.0159   
5098->6197           | 76    | 0.6441       | 0.6282       | -0.0159   
6197->5097           | 75    | 0.6470       | 0.6319       | -0.0151   
6890->7706           | 74    | 0.6500       | 0.6019       | -0.0481   
7706->7765           | 72    | 0.6562       | 0.6177       | -0.0385   
7765->7954           | 71    | 0.6594       | 0.6186       | -0.0408   
7954->6891           | 70    | 0.6627       | 0.6221       | -0.0405   
4983->4955           | 69    | 0.6660       | 0.6301       | -0.0359   
4955->4956           | 69    | 0.6660       | 0.6301       | -0.0359   
4956->4957           | 69    | 0.6660       | 0.6301       | -0.0359   
4957->5925           | 69    | 0.6660       | 0.6301       | -0.0359   
5925->4958           | 68    | 0.6694       | 0.6341       | -0.0352   
4958->6344           | 68    | 0.6694       | 0.6341       | -0.0352   
6344->4959           | 67    | 0.6728       | 0.6385       | -0.0344   
4959->6013           | 67    | 0.6728       | 0.6385       | -0.0344   
6013->5395           | 66    | 0.6764       | 0.6429       | -0.0335   
5395->5383           | 65    | 0.6800       | 0.6584       | -0.0216   
5383->6133           | 63    | 0.6874       | 0.6652       | -0.0222   
5234->7310           | 63    | 0.6874       | 0.5229       | -0.1645   
6133->5487           | 62    | 0.6912       | 0.6694       | -0.0218   
5487->5404           | 61    | 0.6951       | 0.6782       | -0.0169   
7310->7266           | 61    | 0.6951       | 0.5740       | -0.1211   
5404->4960           | 60    | 0.6991       | 0.6824       | -0.0167   
4960->5343           | 60    | 0.6991       | 0.6824       | -0.0167   
7266->7352           | 60    | 0.6991       | 0.5930       | -0.1061   
5343->5737           | 59    | 0.7031       | 0.6871       | -0.0161   
5097->5111           | 59    | 0.7031       | 0.6259       | -0.0772   
5111->5112           | 59    | 0.7031       | 0.6259       | -0.0772   
5112->5782           | 59    | 0.7031       | 0.6259       | -0.0772   
7352->7251           | 59    | 0.7031       | 0.6202       | -0.0830   
5737->6040           | 58    | 0.7073       | 0.7118       | 0.0046    
5782->5642           | 58    | 0.7073       | 0.6323       | -0.0750   
7251->7166           | 58    | 0.7073       | 0.6245       | -0.0827   
6040->6253           | 57    | 0.7115       | 0.7179       | 0.0064    
7166->7478           | 57    | 0.7115       | 0.6317       | -0.0798   
6253->4961           | 56    | 0.7158       | 0.7212       | 0.0055    
5642->6170           | 56    | 0.7158       | 0.6438       | -0.0720   
7478->7466           | 56    | 0.7158       | 0.6361       | -0.0796   
6170->5460           | 55    | 0.7201       | 0.6504       | -0.0698   
7466->6794           | 55    | 0.7201       | 0.6403       | -0.0798   
6794->6827           | 55    | 0.7201       | 0.6403       | -0.0798   
5460->6064           | 54    | 0.7246       | 0.6595       | -0.0651   
6064->5113           | 53    | 0.7291       | 0.6810       | -0.0481   
5113->5154           | 53    | 0.7291       | 0.6810       | -0.0481   
5235->7156           | 49    | 0.7481       | 0.5014       | -0.2467   
6827->7422           | 49    | 0.7481       | 0.6834       | -0.0648   
7156->7488           | 48    | 0.7531       | 0.5175       | -0.2356   
7488->7201           | 47    | 0.7582       | 0.5309       | -0.2272   
7422->7226           | 47    | 0.7582       | 0.7034       | -0.0547   
7201->7636           | 46    | 0.7633       | 0.5478       | -0.2155   
7226->6806           | 46    | 0.7633       | 0.7152       | -0.0481   
6806->7575           | 46    | 0.7633       | 0.7152       | -0.0481   
7636->7179           | 45    | 0.7685       | 0.5718       | -0.1967   
7575->7401           | 45    | 0.7685       | 0.7214       | -0.0471   
7179->7282           | 44    | 0.7738       | 0.5920       | -0.1818   
7401->7584           | 44    | 0.7738       | 0.7614       | -0.0125   
7282->7288           | 43    | 0.7792       | 0.6129       | -0.1663   
7584->7316           | 43    | 0.7792       | 0.7765       | -0.0028   
7288->7497           | 42    | 0.7847       | 0.6437       | -0.1410   
7497->7507           | 41    | 0.7903       | 0.6610       | -0.1292   
7316->7205           | 41    | 0.7903       | 0.7930       | 0.0028    
7507->6881           | 40    | 0.7959       | 0.6789       | -0.1170   
7205->6807           | 40    | 0.7959       | 0.8062       | 0.0103    
6807->6884           | 39    | 0.8016       | 0.8366       | 0.0350    
6891->7896           | 37    | 0.8132       | 0.6139       | -0.1993   
7896->6892           | 36    | 0.8192       | 0.6223       | -0.1969   
6892->6893           | 36    | 0.8192       | 0.6223       | -0.1969   
6893->7966           | 35    | 0.8252       | 0.6327       | -0.1925   
